  1    434026.3097   4595461.5249    113.3578
  2    434024.4533   4595449.6063    113.4186
  3    433865.3172   4590263.5211    108.0410
  4    435577.3576   4590565.9734    131.6257
  5    432846.4465   4591390.6511    119.4101
  6    432845.1003   4591389.5464    119.2307
  7    432654.4415   4589783.8343     84.5349
  8    435110.3338   4589780.3883     99.6719
  9    432967.3508   4590120.0613     77.1982
 10    432932.8847   4590111.6968     76.2386
 11    437374.6168   4595166.2244    307.7605
 12    436705.1107   4594914.9628    228.4380
 13    438888.6895   4595247.9357    534.2548
 14    437226.1791   4595449.8148    257.2063
 15    436524.0932   4595931.5543    171.3536
 16    437303.8330   4592958.2344    369.5342
 17    437382.4292   4594409.0316    261.0403
 18    437444.2948   4592935.3428    372.8599
 19    435857.2456   4593642.9384    411.5915
 20    438795.5716   4591306.4108    109.9212
 21    436863.8428   4591359.1489    157.0907
 22    437965.4623   4589917.9818     61.6753
 23    437988.2068   4589884.3802     60.7563
 24    439819.7430   4595754.1498    405.8791
 25    441424.9502   4595831.5856    297.3453
 26    441377.7111   4595861.2806    301.2696
 27    441795.8020   4593064.7135     94.7023
 28    441580.6490   4593288.1858    110.5544
 29    441102.2004   4594566.6265    170.7377
 30    439342.0232   4593528.3975    213.4577
 31    441051.8090   4591629.9238     60.7577
 32    441012.3503   4591634.2407     61.8711
 33    440422.9536   4591556.3371     85.9173
